7.955706403845916874e-01 1.168612480337848369e+00 1.556688281109299465e+00 1.880494880251583512e+00 2.060070191899659786e+00 2.046591869013925535e+00 1.843825572458878792e+00 1.506425945758861573e+00 1.116130827773383238e+00 7.499318238282230986e-01 4.569491006755883045e-01 2.524952623555303810e-01 1.265254830313100876e-01 5.749659652281646077e-02 2.369439557906483432e-02 8.854998567793656919e-03 3.001032642089008096e-03 9.223426826193277485e-04 2.570711009434131799e-04 6.497608970784076105e-05
7.651419866347487497e-01 1.133747949561451085e+00 1.523457553580180868e+00 1.856451320480902556e+00 2.051521800786937799e+00 2.055928801206576839e+00 1.868440911710516739e+00 1.539891171531990066e+00 1.150906528303256904e+00 7.800625733693820063e-01 4.794664160565005329e-01 2.672552882049298306e-01 1.350932922157865590e-01 6.192708350624193808e-02 2.574345496993373644e-02 9.704929851375453803e-03 3.317854467622407232e-03 1.028635782528136006e-03 2.892046599979491875e-04 7.373748294156686649e-05
7.354360791476788339e-01 1.099222239553051539e+00 1.489928558488105237e+00 1.831406478965481588e+00 2.041471922895969460e+00 2.063675649728093919e+00 1.891815727611340314e+00 1.572735127477763006e+00 1.185691497934603378e+00 8.106384289042356528e-01 5.025994784245764180e-01 2.825896442033354883e-01 1.440886641804822177e-01 6.662584820784268891e-02 2.793798310538186253e-02 1.062396700360518711e-02 3.663681735291612982e-03 1.145745417810314437e-03 3.249360390355556655e-04 8.356934507163787528e-05
7.064678611398105268e-01 1.065080291074490981e+00 1.456168561507284576e+00 1.805428592340666549e+00 2.029964042043177486e+00 2.069835052988881152e+00 1.913914326804255994e+00 1.604902349071376078e+00 1.220433430518035767e+00 8.416256088493148102e-01 5.263360916612784823e-01 2.985016419112165309e-01 1.535216610943314908e-01 7.160312234792486075e-02 3.028542161641331262e-02 1.161648272234330932e-02 4.040685424158019061e-03 1.274602584205775883e-03 3.646144798769399725e-04 9.458720494282614509e-05
6.782491553300585840e-01 1.031363501652257986e+00 1.422242389558707520e+00 1.778585888095915335e+00 2.017044265428804994e+00 2.074413736905106997e+00 1.934704730840474340e+00 1.636339337666138150e+00 1.255080007828314859e+00 8.729890894688933090e-01 5.506626033282256971e-01 3.149935889459816174e-01 1.634019402989550507e-01 7.686914794323575217e-02 3.279338807979362974e-02 1.268702726947289715e-02 4.451156064353190694e-03 1.416201771337220403e-03 4.086173550905657374e-04 1.069172665134695573e-04
6.507895438788707798e-01 9.981106342233564410e-01 1.388213176647948632e+00 1.750947019605469723e+00 2.002761396807280825e+00 2.077422263854629580e+00 1.954158180272736356e+00 1.666993904223155631e+00 1.289578167394084707e+00 9.046918865746810257e-01 5.755632848805560808e-01 3.320663228560553626e-01 1.737384517090076741e-01 8.243400955649864137e-02 3.546959789165898824e-02 1.384029889466548147e-02 4.897495401253462721e-03 1.571599811062780868e-03 4.573506097426064797e-04 1.206968456976031853e-04
6.240959724117586260e-01 9.653572312795990484e-01 1.354141636652438585e+00 1.722580366513212669e+00 1.987166501587708467e+00 2.078875042656814109e+00 1.972249601088316595e+00 1.696815926011254305e+00 1.323874905415247882e+00 9.366957111465871177e-01 6.010207649007986985e-01 3.497194489852500365e-01 1.845395500871075956e-01 8.830768359224430708e-02 3.832188751421226197e-02 1.508115675490300997e-02 5.382224140299921543e-03 1.741920254266188933e-03 5.112509424097316183e-04 1.360753116361341759e-04
5.981722823629909147e-01 9.331348972376242168e-01 1.320085136329516518e+00 1.693553084594690450e+00 1.970312219406009202e+00 2.078790151871905856e+00 1.988958007857959842e+00 1.725758181436125582e+00 1.357918269033886016e+00 9.689618647279671926e-01 6.270166914171700911e-01 3.679517583319026341e-01 1.958132278953788052e-01 9.450015787566640180e-02 4.135827388743653493e-02 1.641465046334842498e-02 5.907996603187731094e-03 1.928360371966857112e-03 5.707889049809519635e-04 1.532153263992065207e-04
5.730210819547463252e-01 9.014734952796705780e-01 1.286099850418277013e+00 1.663932776134796621e+00 1.952253584151616206e+00 2.077189145661619385e+00 2.004265374275659983e+00 1.753774561010046140e+00 1.391655281758110263e+00 1.001449240803769625e+00 6.535300692883131424e-01 3.867600171379467211e-01 2.075663414420060859e-01 1.010209977756383048e-01 4.458674211497400119e-02 1.784593021151923906e-02 6.477568342240687567e-03 2.132181548047029120e-03 6.364667508506211815e-04 1.722925999538724943e-04
5.486419673801924413e-01 8.703988370037500921e-01 1.252238184084410566e+00 1.633785157393243814e+00 1.933046554642379622e+00 2.074096908616809731e+00 2.018157881491416727e+00 1.780822342863662033e+00 1.425034625036379898e+00 1.034116818110118574e+00 6.805392044583693512e-01 4.061402766791102903e-01 2.198053885778031014e-01 1.078797603903814961e-01 4.801544682992059387e-02 1.938033767490002224e-02 7.093834762414238763e-03 2.354724812024371668e-03 7.088243288348744118e-04 1.934979793109789297e-04
